id	topic	score	text
636404876847656960	seinfeld	1	Stay up late, watch Seinfeld, make Steve drive tomorrow.
641214034977628160	obama	-1	Y #FireBoehner? He fully funded Obama's #amnesty for #IllegalAliens back in February after campaigning on the promise to stop amnesty. #tcot
640929313005682688	sarah palin	-1	Saturday Night Live is going to have to find a new actress to play Sarah Palin, she's aged too much for Tina Fey to play her now.
625865025585053697	kurt cobain	0	I hate Jon for making me watch the Kurt Cobain documentary because I'll end up listening to Nirvana all day tomorrow.
638976726597406720	nokia	1	OMG. It's the 15th birthday of the Nokia 3310. I had one. Sigh. You only had to charge its battery weekly.
627979124577927169	galaxy note	1	Samsung's Galaxy Note 5 should be an evolutionary upgrade:   Still wondering what Samsung is going to unveil at its August 13th event...
638194034985574400	jurassic park	2	@GailSimone I really love the 2nd Jurassic Park and Mummy movies!
638833999306059777	hannibal	1	@amalalllama it's a lot bigger than you may think just take a look at Hannibal
633538664459431936	minecraft	1	Doing a mock build of Ashoka build now and I think I might build her in Minecraft tomorrow.  If so I'll definitely stream it #disneyinfinity
640077450362261504	disneyland	2	HAPPY 16TH to the only person who will go meet the princess with me at Disneyland ily shae http://t.co/zGANGWgA73
639400403348549632	madonna	1	On September 3 2009, Madonna's Sticky And Sweet world tour was named the highest-grossing for a solo artist ever.... http://t.co/kySPk36P1C
641433564836290560	ios	1	Check out my ride in #CSRRacing for iOS! Try it for FREE! http://t.co/BvKgJ02yP8 now car http://t.co/PLHShHhLA0
628742072980385792	google+	-1	And just when I had a few nice things to say about Google+ in my 2nd edition, I've gotta omit it entirely. Much like Google's doing.
641635903409012736	chris brown	1	All my friends actually want to go see Chris Brown this Saturday... Drink and have a good time... I think yes!!!!!!
638495933681020928	barca	0	Can we just really piss Madrid off and sell De Gea to Barca in January
641383335672086528	ipod	2	Found an ancient ipod nano, I may have to keep it.
641196323933409280	juventus	0	Both Hernanes and Alex Sandro are expected to start and make their Juventus debuts on Saturday. (via GdS)
639436190706475008	madonna	1	Remember when Madonna tried acting a bit back in the 1980s? #RickiAndTheFlash is out tomorrow:http://t.co/dwvgFybCVB http://t.co/xIRXteUBcH
637804906120912897	jeb bush	-1	"Both Jeb Bush and Lindsey Graham want to be the 1st ""Matronly"" POTUS!"
639792975791456256	batman	2	After 61 days so far, on saturday i will finally see this guy again. Come home safe Batman, i love you. http://t.co/ROariDuqXq
627858323631656960	jay-z	1	CRAZY IN LOVE by BEYONCE FEAT. JAY-Z was no.2 in the UK charts on 2 August 2003 https://t.co/rnU7AFDvUY
632437026885734400	jurassic park	1	Well, it's gonna be about 100 tomorrow at @UniStudios. We're gonna have to ride Jurassic Park a few times!
640693538607370240	disneyland	1	FINALLY going to Disneyland tomorrow idc if it's gonna be packed
641641388719783936	netflix	1	Every time the sun shines I'm happy when it rains I just wanna cuddle with you to be warm ...wanna Netflix and chill
641416150102974464	google	0	"Googled the snake I stepped over on the trail Sunday. Baby timber rattler. So time to Google ""snake-proof hiking boots."""
641545080214568960	joe biden	1	PITTSBURGH (Reuters) - Vice President Joe Biden on Monday gave a glimpse of what a Biden race for the Democratic presidential nomination
640996824791318528	ipod	1	I drenched the old iPod nano (6th gen) in isopropanol and it actually worked! The screen will never look the same but totally worth it.
636150273858228224	seinfeld	1	Netflix and Hulu stats - Seinfeld still killing it; http://t.co/LFSSjxwsAK
641421154058506242	justin	0	September 8: [More] Justin spotted out and about in New York... http://t.co/oZsoZVpoNv
641469594247413761	barca	0	I hated Tata Martino in Barca and I can't stand him coaching Argentina! Even though it's a friendly no reason to play 5 defenders in 1st 45
620615792644767744	david beckham	1	Another mint Monday off. Currently watching David Beckham into the unknown. What a specimen.
